SIM_ID,WEEK,OBS,REGIME,SIM_WK_REG_ID,OUTPUT,VALUE,PREV_REGIME,WTD_RET,RANK_RET,WTD_RET_ZSCORE,WTD_RET_MINMAXSCALE,D_RET
1,1,0,3,1 - 1 - 3,PRICE_0,97,3,0,0,,,0
1,1,1,3,1 - 1 - 3,PRICE_1,77,3,-0.206185567,4,-0.188380429,0.19047619,-0.206185567
1,1,2,3,1 - 1 - 3,PRICE_2,73,3,-0.24742268,7,-0.323339543,0.152380952,-0.051948052
1,1,3,3,1 - 1 - 3,PRICE_3,70,3,-0.278350515,8,-0.424558878,0.123809524,-0.04109589
1,1,4,3,1 - 1 - 3,PRICE_4,66,3,-0.319587629,9,-0.559517991,0.085714286,-0.057142857
1,1,5,3,1 - 1 - 3,PRICE_5,63,3,-0.350515464,10,-0.660737326,0.057142857,-0.045454545
1,1,6,3,1 - 1 - 3,PRICE_6,111,3,0.144329897,2,0.958772035,0.514285714,0.761904762
1,1,7,3,1 - 1 - 3,PRICE_7,101,3,0.041237113,3,0.621374252,0.419047619,-0.09009009
1,1,8,3,1 - 1 - 3,PRICE_8,57,3,-0.412371134,12,-0.863175997,0,-0.435643564
1,1,9,3,1 - 1 - 3,PRICE_9,162,3,0.670103093,1,2.679500732,1,1.842105263
1,1,10,3,1 - 1 - 3,PRICE_10,60,3,-0.381443299,11,-0.761956662,0.028571429,-0.62962963
1,1,11,3,1 - 1 - 3,PRICE_11,77,3,-0.206185567,4,-0.188380429,0.19047619,0.283333333
1,1,12,3,1 - 1 - 3,PRICE_12,74,3,-0.237113402,6,-0.289599764,0.161904762,-0.038961039
1,2,0,0,1 - 2 - 0,PRICE_0,93,3,0,0,,,0
1,2,1,0,1 - 2 - 0,PRICE_1,113,3,0.215053763,3,0.919769855,0.797619048,0.215053763
1,2,2,0,1 - 2 - 0,PRICE_2,102,3,0.096774194,5,0.535562194,0.666666667,-0.097345133
1,2,3,0,1 - 2 - 0,PRICE_3,130,3,0.397849462,1,1.513545331,1,0.274509804
1,2,4,0,1 - 2 - 0,PRICE_4,104,3,0.11827957,4,0.605418133,0.69047619,-0.2
1,2,5,0,1 - 2 - 0,PRICE_5,119,3,0.279569892,2,1.12933767,0.869047619,0.144230769
1,2,6,0,1 - 2 - 0,PRICE_6,98,3,0.053763441,6,0.395850317,0.619047619,-0.176470588
1,2,7,0,1 - 2 - 0,PRICE_7,63,3,-0.322580645,8,-0.826628604,0.202380952,-0.357142857
1,2,8,0,1 - 2 - 0,PRICE_8,56,3,-0.397849462,10,-1.071124388,0.119047619,-0.111111111
1,2,9,0,1 - 2 - 0,PRICE_9,91,3,-0.021505376,7,0.151354533,0.535714286,0.625
1,2,10,0,1 - 2 - 0,PRICE_10,63,3,-0.322580645,8,-0.826628604,0.202380952,-0.307692308
1,2,11,0,1 - 2 - 0,PRICE_11,55,3,-0.408602151,11,-1.106052358,0.107142857,-0.126984127
1,2,12,0,1 - 2 - 0,PRICE_12,46,3,-0.505376344,12,-1.42040408,0,-0.163636364
1,3,0,0,1 - 3 - 0,PRICE_0,108,0,0,0,,,0
1,3,1,0,1 - 3 - 0,PRICE_1,147,0,0.361111111,3,1.299909735,0.975,0.361111111
1,3,2,0,1 - 3 - 0,PRICE_2,80,0,-0.259259259,8,-0.863915166,0.1375,-0.455782313
1,3,3,0,1 - 3 - 0,PRICE_3,74,0,-0.314814815,11,-1.05769053,0.0625,-0.075
1,3,4,0,1 - 3 - 0,PRICE_4,69,0,-0.361111111,12,-1.21917,0,-0.067567568
1,3,5,0,1 - 3 - 0,PRICE_5,104,0,-0.037037037,7,-0.088813709,0.4375,0.507246377
1,3,6,0,1 - 3 - 0,PRICE_6,149,0,0.37962963,1,1.364501523,1,0.432692308
1,3,7,0,1 - 3 - 0,PRICE_7,118,0,0.092592593,5,0.363328808,0.6125,-0.208053691
1,3,8,0,1 - 3 - 0,PRICE_8,149,0,0.37962963,1,1.364501523,1,0.262711864
1,3,9,0,1 - 3 - 0,PRICE_9,80,0,-0.259259259,8,-0.863915166,0.1375,-0.463087248
1,3,10,0,1 - 3 - 0,PRICE_10,75,0,-0.305555556,10,-1.025394636,0.075,-0.0625
1,3,11,0,1 - 3 - 0,PRICE_11,114,0,0.055555556,6,0.234145232,0.5625,0.52
1,3,12,0,1 - 3 - 0,PRICE_12,122,0,0.12962963,4,0.492512384,0.6625,0.070175439
1,4,0,3,1 - 4 - 3,PRICE_0,109,0,0,0,,,0
1,4,1,3,1 - 4 - 3,PRICE_1,133,0,0.220183486,3,1.268045859,0.755102041,0.220183486
1,4,2,3,1 - 4 - 3,PRICE_2,152,0,0.394495413,2,1.629438929,0.884353741,0.142857143
1,4,3,3,1 - 4 - 3,PRICE_3,50,0,-0.541284404,4,-0.310671236,0.19047619,-0.671052632
1,4,4,3,1 - 4 - 3,PRICE_4,169,0,0.550458716,1,1.952790623,1,2.38
1,4,5,3,1 - 4 - 3,PRICE_5,47,0,-0.568807339,6,-0.367733299,0.170068027,-0.721893491
1,4,6,3,1 - 4 - 3,PRICE_6,49,0,-0.550458716,5,-0.329691923,0.183673469,0.042553191
1,4,7,3,1 - 4 - 3,PRICE_7,44,0,-0.596330275,7,-0.424795363,0.149659864,-0.102040816
1,4,8,3,1 - 4 - 3,PRICE_8,39,0,-0.642201835,8,-0.519898802,0.115646259,-0.113636364
1,4,9,3,1 - 4 - 3,PRICE_9,35,0,-0.678899083,9,-0.595981554,0.088435374,-0.102564103
1,4,10,3,1 - 4 - 3,PRICE_10,30,0,-0.724770642,10,-0.691084993,0.054421769,-0.142857143
1,4,11,3,1 - 4 - 3,PRICE_11,26,0,-0.76146789,11,-0.767167745,0.027210884,-0.133333333
1,4,12,3,1 - 4 - 3,PRICE_12,22,0,-0.798165138,12,-0.843250497,0,-0.153846154
1,5,0,3,1 - 5 - 3,PRICE_0,102,3,0,0,,,0
1,5,1,3,1 - 5 - 3,PRICE_1,56,3,-0.450980392,5,-0.327903106,0.144736842,-0.450980392
1,5,2,3,1 - 5 - 3,PRICE_2,51,3,-0.5,8,-0.445011358,0.111842105,-0.089285714
1,5,3,3,1 - 5 - 3,PRICE_3,48,3,-0.529411765,9,-0.515276309,0.092105263,-0.058823529
1,5,4,3,1 - 5 - 3,PRICE_4,43,3,-0.578431373,10,-0.632384561,0.059210526,-0.104166667
1,5,5,3,1 - 5 - 3,PRICE_5,39,3,-0.617647059,11,-0.726071163,0.032894737,-0.093023256
1,5,6,3,1 - 5 - 3,PRICE_6,34,3,-0.666666667,12,-0.843179415,0,-0.128205128
1,5,7,3,1 - 5 - 3,PRICE_7,96,3,-0.058823529,3,0.608962911,0.407894737,1.823529412
1,5,8,3,1 - 5 - 3,PRICE_8,107,3,0.049019608,2,0.866601066,0.480263158,0.114583333
1,5,9,3,1 - 5 - 3,PRICE_9,72,3,-0.294117647,4,0.046843301,0.25,-0.327102804
1,5,10,3,1 - 5 - 3,PRICE_10,186,3,0.823529412,1,2.716911449,1,1.583333333
1,5,11,3,1 - 5 - 3,PRICE_11,52,3,-0.490196078,7,-0.421589708,0.118421053,-0.720430108
1,5,12,3,1 - 5 - 3,PRICE_12,56,3,-0.450980392,5,-0.327903106,0.144736842,0.076923077
1,6,0,2,1 - 6 - 2,PRICE_0,101,3,0,0,,,0
1,6,1,2,1 - 6 - 2,PRICE_1,91,3,-0.099009901,1,1.603621631,1,-0.099009901
